,lat,lon,date,d15n,blue,green,red,nir,swir1,swir2,imaging_time
640,39.107315,-96.585981,2017,-2.9,0.13074631426170652,0.1530058819035979,0.14684898021541518,0.29829653960736385,0.2348636467802307,0.17922236651134368,Mon Jul 17 03:06:37 2017
641,39.07116,-96.58894,2017,-1.2,0.1079978611259644,0.16082804980520968,0.14034069207852723,0.39987777862653734,0.24907188144526773,0.1830570621037354,Mon Jul 17 03:06:37 2017
642,39.215958,-96.594339,2019,1.3,0.13670460621801236,0.1569627988694523,0.16026277595294477,0.3312657550989229,0.2773966847452448,0.21663738446260788,Tue Jul 23 03:06:46 2019
643,39.214927,-96.595022,2019,2.4,0.12602551371171034,0.137575433503934,0.13019631808112445,0.3199908333969903,0.2073027270643954,0.15636696967382172,Tue Jul 23 03:06:46 2019
644,39.223125,-96.595404,2019,15.1,0.13092964632190054,0.14678786952868383,0.13960736383775113,0.31569780765411354,0.23484836910854787,0.1775571002979146,Tue Jul 23 03:06:46 2019
645,39.103998,-96.596161,2017,0.225,0.12326025513711711,0.13956153082270262,0.12594912535329617,0.3644030249789932,0.21653044076082806,0.15117256130165763,Mon Jul 17 03:06:37 2017
646,39.106213,-96.597472,2017,-3.5,0.13306852035749753,0.1533114353372546,0.15117256130165763,0.29600488885493853,0.2569704377052937,0.1839584447330227,Mon Jul 17 03:06:37 2017
647,39.215287,-96.599283,2019,2.0,0.14469482850813536,0.16377664043999696,0.17071270338400427,0.296050721869987,0.3064853716293637,0.2501871514781147,Tue Jul 23 03:06:46 2019
648,39.21712,-96.600871,2019,0.5,0.1575280727217172,0.184951493392407,0.2035749751737835,0.30020624856771827,0.3299213199908334,0.2556260025972042,Tue Jul 23 03:06:46 2019
649,39.215594,-96.601254,2019,6.4,0.14399205561072492,0.1637613627683141,0.16933771293254907,0.3055076006416622,0.30975479336949047,0.24983576502940952,Tue Jul 23 03:06:46 2019
650,39.111555,-96.611503,2019,3.0,0.1389504239553892,0.15794056985715377,0.158475288366053,0.30807424948437856,0.2966923840806661,0.2405316629745627,Tue Jul 23 03:06:46 2019
651,39.108044,-96.612665,2019,1.2,0.14623787334810176,0.16325719960278054,0.178076541135131,0.24102054846841342,0.2892368802994424,0.25437323351921165,Tue Jul 23 03:06:46 2019
652,39.111041,-96.613606,2019,4.0,0.14093652127415782,0.15768084943854557,0.1610877702238179,0.27916889466045375,0.30879230005347186,0.2606218012374914,Tue Jul 23 03:06:46 2019
653,39.108366,-96.614399,2019,-3.6,0.1423420670689787,0.16020166526621343,0.18071957833626157,0.22817202658314872,0.275059200977771,0.24399969444656636,Tue Jul 23 03:06:46 2019
654,39.124272,-96.637853,2019,6.5,0.14941562905813155,0.1715376976548774,0.18001680543885112,0.29730349094797953,0.3326713008937438,0.2820105415934612,Tue Jul 23 03:06:46 2019
